"county_fips","per_depres","pred_outcome"
"13003",22,22.2242352662553
"13005",22.1,22.4508124761244
"13007",19.3,19.5462599597485
"13009",20.4,19.9598976586952
"13011",22.8,22.3947403863407
"13013",19.7,20.0574274384875
"13015",21.2,20.3786287847372
"13017",20.9,21.8231042126531
"13019",22.9,22.7072146292515
"13021",19.5,19.1187554632459
"13023",21.8,21.5722654560736
"13025",24,23.321717215262
"13027",20.2,21.1577192605818
"13029",20.5,19.9414380433242
"13031",21.4,21.0055102758724
"13033",20.4,19.9345900872856
"13035",20.4,20.1361207298056
"13037",17.3,17.8842306264268
"13039",20.9,20.9427788807707
"13043",21.2,20.5796796188846
"13045",21.3,21.3271006747542
"13047",21.3,23.0228120373012
"13049",20.1,20.4615719706828
"13051",18.9,18.2788507190287
"13053",21,20.1175102949784
"13055",23.1,25.2184259512999
"13057",20.2,19.3624807355151
"13059",22.2,20.5836630025546
"13061",18.3,18.4632225686115
"13063",17,15.6499026013666
"13065",21.8,21.5340643102359
"13067",18.2,15.8065257398408
"13069",21.7,20.9953554723543
"13071",21.7,20.8979789345326
"13073",19.4,19.1814277729358
"13075",22.2,21.379047936045
"13077",19.3,19.91797717967
"13079",20.6,20.6699750190297
"13081",20.5,20.3991200292345
"13083",22.6,23.5169031467424
"13085",21,19.7763527594712
"13087",20.3,20.9599178205964
"13089",16.9,15.1406896856534
"13091",20.6,20.8591738611829
"13093",17.8,18.2209922203379
"13095",18.6,18.6948741257955
"13097",18.2,16.830871739381
"13099",19.8,19.4132358777577
"13101",20.6,21.4588605590097
"13103",20.5,20.5772031066784
"13105",20.4,21.619461705565
"13107",20.8,21.425640789205
"13109",20.8,20.4412162950485
"13111",20.7,20.9211229028916
"13113",17.6,16.9043315793923
"13115",22.3,21.573564250237
"13117",17.4,16.8263624462744
"13119",22.6,22.5072614544038
"13121",16.9,15.5280740560804
"13123",20.7,21.288157301929
"13125",22.5,22.3180913081833
"13127",19.3,19.5541140956286
"13129",22.5,21.5677453744106
"13131",20.3,20.7653916008165
"13133",17.5,16.2855451067377
"13135",15.7,15.2973610701774
"13137",21.5,21.3911285302009
"13139",20.2,19.3684020172672
"13141",17.5,19.1146855727586
"13143",23.8,23.5692167909297
"13145",18.8,19.3374808112884
"13147",20.4,20.3575864132546
"13149",22.6,22.9247260181033
"13151",17.6,17.4174970906382
"13153",20.5,18.9353832602939
"13155",21.5,20.7333222643807
"13157",20.5,20.3355853543094
"13159",21.7,21.0475666371634
"13161",22.2,22.4773168790674
"13163",19.9,19.0929352261871
"13165",20.5,20.6633727014554
"13167",20.2,19.7753719530085
"13169",20.8,20.9649360859267
"13171",20.9,20.2317797937558
"13173",22,22.2280170510779
"13175",20.3,20.8350855176527
"13177",20.2,19.7765179874285
"13179",19.7,19.2237958401971
"13181",20.3,20.4764782506211
"13183",21.3,21.1007403348443
"13185",20.5,20.316567573986
"13187",22.5,22.6158555319631
"13189",20.4,20.0683281575006
"13191",20.3,19.3493034111911
"13193",18.1,18.251667675713
"13195",22.3,21.7837024162949
"13197",20.4,19.7120560430019
"13199",20.4,20.5388134861194
"13201",21.1,20.8050652931555
"13205",20,20.140065163778
"13207",20,19.7149066947438
"13209",21.1,20.2368709989122
"13211",19.6,19.1058270618933
"13213",22.4,23.4592741323944
"13215",19.6,18.970043199235
"13217",18.8,18.1712728758484
"13219",19.5,18.919924501984
"13221",20.8,19.7935267865469
"13223",20.4,19.3584522080065
"13225",19.5,19.1380031998701
"13227",21.8,22.7338594269749
"13229",22.5,21.7350705656563
"13231",21.7,21.1676655734398
"13233",22.5,23.124682726
"13235",21.8,20.9021654123891
"13237",19.8,19.695961130304
"13239",18.6,16.9777616332405
"13241",20.5,21.3455914227984
"13243",19.6,19.8787897107082
"13245",20.4,18.8848773178436
"13247",17.6,15.6644497510981
"13249",20.8,21.7895473125832
"13251",20,20.0523454191056
"13253",19.5,20.3259001465868
"13255",20,20.4726917281447
"13257",22.1,22.5724273387929
"13259",17.3,16.7647163174142
"13261",19.2,19.6665275342096
"13263",18.5,18.6018411342673
"13265",17.5,18.8220778103263
"13267",20.2,20.2590083166301
"13269",21,21.5247480370739
"13271",19.8,20.8619914243806
"13273",19.4,20.2600183771092
"13275",19.7,20.4753313667173
"13277",21,20.806672442264
"13279",20.8,20.9278404324226
"13281",20.3,20.2679129358957
"13283",21.8,21.569463720824
"13285",20.7,20.6374661018381
"13287",20.8,21.3171350431345
"13289",19.1,19.1433220791369
"13291",20.5,20.5838273304874
"13293",21.2,22.264038874857
"13295",21.6,23.4842353617634
"13297",20.4,20.6289706224725
