GEOID,under_18,over_65,median_age,male_over65,female_over65,white,black,asian,hispanic,male,female,less_than_9th,bach,high_school,poverty,median_income,uninsured,CountyFIPS,StateAbbr,per_arthritis,per_HighBP,per_cancer,per_asthma,per_heartDisease,per_copd,per_smoking,per_depression,per_diabetes,per_highChol,per_obesity,per_stroke,Food_environment_index,primCare100k,per_rural
0500000US49049,32.2,7.7,25.2,46.2,53.8,86.3,0.6,1.4,12.5,50.8,49.2,1.8,42.8,28.3,8.9,91263,7.8,49049,UT,17.2,20.8,5.9,10.4,3.7,3.3,5.3,24.9,6.7,26.9,28.7,1.9,8,41.80845128,3.33
0500000US49051,30,12.7,35.5,49.9,50.1,87.8,0.4,1.2,13.7,51.1,48.9,2.6,46.7,32.1,5.4,104855,7.4,49051,UT,23.4,25.9,8.5,9.9,5.2,4.4,7,20.5,8.6,29.6,26.2,2.5,8.3,49.86653369,26.85
0500000US49053,24.9,21.9,38.6,47.9,52.1,88,0.6,1.1,11.1,49.8,50.2,1.7,32.8,37.6,8.8,71976,12.2,49053,UT,30.2,32.2,10.3,10.8,6.8,5.8,7.7,23.2,10.3,35.4,28.2,3.4,7.3,55.75705693,15.21
0500000US49055,23.5,22.4,43,52.5,47.5,98.6,0,0,1.8,51.3,48.7,0.6,22.2,47.3,8.5,64870,10.7,49055,UT,31.6,35.4,10.7,11.3,7.9,7.4,10.8,24.5,12.3,35.7,33,3.9,6.6,36.88675765,100
0500000US49057,27.3,11.9,33.2,46.6,53.4,84.9,1.1,1.4,18.8,50.7,49.3,2.6,27,37.7,7.6,82291,8.5,49057,UT,26.3,28.7,7.5,11.4,5.2,4.8,8,27.5,9.8,31.4,34.2,2.6,8.1,43.04166202,5.8
0500000US50001,16.2,21.4,43.9,47.7,52.3,92.1,1,2.1,2.5,50,50,1.4,41.8,29.3,7.5,85870,4.7,50001,VT,25.5,26.9,10.1,11.1,6.3,5.5,10.4,23.6,7.7,31.7,25.4,2.9,9,114.2018109,78.43
0500000US50003,18.9,23.3,46.7,45.8,54.2,93.6,1,1.1,2.4,48.9,51.1,1.9,39.4,28.8,11.2,68558,4.6,50003,VT,31.8,33.3,11.2,12,7.7,7.6,12.6,25,9.6,34.3,28,3.7,8.4,101.4942205,64.51
0500000US50005,19,22.2,45.4,47.3,52.7,94.1,1.1,0.4,1.9,50.3,49.7,1.9,31.5,37,11.8,62964,4.5,50005,VT,31.6,32.3,10.1,12.3,7.7,8,16.6,27.8,10.4,31.6,29.5,3.8,8.4,83.35278232,74.39
0500000US50007,17.4,15.9,36.7,43.9,56.1,88.1,2.5,3.9,2.5,49.3,50.7,1.6,55.7,27.2,11.2,89494,3.3,50007,VT,24,24.2,7.8,11.9,6.1,6.4,11.6,27.3,7,26.7,23.6,3.1,8.7,186.8428444,25.99
0500000US50009,17.1,26.6,51.6,51.4,48.6,95.1,0,0.7,1.5,50.6,49.4,2.7,20.2,34,13.2,55247,5.3,50009,VT,34,37.8,11.5,12.4,9.9,9.7,14.6,24.8,11.5,35.8,33,4.8,7.5,16.22586403,100
0500000US50011,21.6,16.8,40.6,46.7,53.3,93.2,0.2,0.7,1.8,50.3,49.7,2.9,27.4,47.3,10.4,73633,4.2,50011,VT,27.8,33,9.1,12.1,6.5,6.8,14.4,24.4,8.6,32.4,31.3,3.2,8.9,54.65365775,71.71
0500000US50013,17.2,21.8,48.6,51.3,48.8,92.2,1.1,0.3,2,51.4,48.6,1,42.6,36.9,7.4,86639,4,50013,VT,28.8,31.7,10.3,11.5,7,6.8,13.1,24,8.7,31.8,27.2,3.3,9.3,69.10850035,100
0500000US50015,20.3,17.8,41,48.7,51.3,93.8,1.2,0.5,2,50.1,49.9,1.3,42.8,34.6,8.6,69886,6.3,50015,VT,27.6,27.9,9.4,12.3,6.9,7.2,13.7,25.6,8.2,29.2,25.5,3.5,8.7,86.74394764,100
0500000US50017,17.9,22.2,46.6,47.5,52.5,95,0.3,0.6,1.4,50.3,49.7,1.8,35.2,30,9.2,74534,4.5,50017,VT,29.3,31.4,10.3,11.9,7,6.6,11.2,24,8.6,33.6,26.8,3.3,8.6,89.99030874,97.24
0500000US50019,19.4,23.2,45.6,47.1,52.9,95,0.7,0.6,1.7,50.6,49.4,3,27.7,43.2,9.8,63981,3.5,50019,VT,32.6,34.1,10.1,12.1,8.6,8.8,15.6,25,10.1,32.6,33,4.1,8,70.27406887,85.3
0500000US50021,17.6,23.4,47.7,47.3,52.7,94.5,0.6,0.8,1.7,50.1,49.9,1.8,33,38.5,11.4,62641,4.5,50021,VT,31.1,34.6,10.4,13,7.8,7.5,13.3,25.2,9.2,32.6,30.3,3.7,8.3,77.33154612,61.01
0500000US50023,18.3,20.5,43.8,45.4,54.6,94.2,0.9,0.8,2,49.8,50.2,1.6,46.2,40.9,9.9,77278,2.9,50023,VT,29.1,28.5,10.1,12.2,6.9,7.1,14.5,26.4,8.2,33.8,26.6,3.3,8.3,104.4359602,52.81
0500000US50025,17,24,47,47.2,52.8,92.6,1.1,1.3,2.6,49.4,50.6,1,40.4,42.6,12.6,65473,4.1,50025,VT,29.5,32.4,10.6,12,7.4,6.8,12.5,26,8.6,30.4,25.4,3.5,8.1,99.47420776,68.25
0500000US50027,17.8,24.3,47.8,47,53,93.8,0.7,1,2,49.3,50.7,1.5,40.8,40.7,8.7,69492,5,50027,VT,30,35.2,10.9,11.4,7.1,6.1,11.1,24.7,8.6,34.6,25.6,3.3,8.8,112.6003414,75.59
