GEOID,under_18,over_65,median_age,male_over65,female_over65,white,black,asian,hispanic,male,female,less_than_9th,bach,high_school,poverty,median_income,uninsured,CountyFIPS,StateAbbr,per_arthritis,per_HighBP,per_cancer,per_asthma,per_heartDisease,per_copd,per_smoking,per_depression,per_diabetes,per_highChol,per_obesity,per_stroke,Food_Environment_Index,primCare100k,per_rural
0500000US48409,26,15.4,37.1,46.8,53.2,64.3,1.6,1,56.1,51,49,7.3,17.2,43.3,15.1,67512,18.1,48409,TX,24.4,38,6.4,9.6,6.8,6.9,14.4,20.7,15.4,38.8,41.3,3.6,6.4,0.00026838,19.6500216
0500000US48411,19.2,22.5,40.1,49.6,50.4,77.6,2.4,0.2,30.2,52.8,47.2,7.1,21.7,25,14.5,54855,25.7,48411,TX,27.3,38.2,8.6,9.6,8.2,8.6,14.9,21.9,14.2,38.8,35.8,4.2,6.5,0.000331181,49.35573316
0500000US48413,23.9,21.4,39.8,45.8,54.2,59.4,0.7,0,52.8,47.5,52.5,8.7,24.2,18.9,9,90141,25.3,48413,TX,25.9,37.1,7.9,9.1,7.4,6.7,12.3,20.2,14.8,39,36,3.8,7.7,-999,100
0500000US48415,25.3,15.4,36.4,46.8,53.2,68.9,2.7,0.6,42.6,53.6,46.4,7.5,17.9,43.1,9.8,62689,19,48415,TX,24.4,35.3,7,9.6,6.7,7,14.2,22.1,13.6,36.9,38.1,3.6,7.7,0.000660185,31.70025412
0500000US48417,22.6,20.2,43.9,46.6,53.4,86.8,1.2,0.2,12.7,48.3,51.7,0.9,34.6,18.4,11.6,64659,13.6,48417,TX,27.8,36.8,9.6,9.9,7,7.1,12.5,23.2,12.3,39,33.8,3.6,7.4,-999,100
0500000US48419,26.3,17.7,40,47.3,52.7,67.1,15.6,0.1,19.6,50.1,49.9,8.2,13.7,40.6,23.5,50436,19.2,48419,TX,29.4,42,7.9,11,8.5,10.1,18.5,23.9,16.4,39.5,41.1,4.8,6.5,0.000200682,79.43256837
0500000US48421,21.9,16.4,36.5,40.6,59.4,68.5,0.2,1.2,47.2,49.8,50.2,12.8,25.6,32.5,6.3,74167,15.3,48421,TX,23.6,34.2,7.3,9.3,6.5,6.2,12.3,21,12.9,37,35.4,3.3,7.5,-999,100
0500000US48423,24.3,17.1,37.4,44.5,55.5,69,16.7,1.6,20.6,48.5,51.5,5,27.7,32,12.2,71923,16.7,48423,TX,25.4,36.4,7.6,10.5,6.5,7,13.6,23.3,13.2,36.8,37.5,3.7,7.1,0.001000823,31.60780873
0500000US48425,21.7,19.6,44,50.5,49.5,83.5,1.9,0,18.1,50.4,49.6,3.9,25,37.9,6.5,83382,11.1,48425,TX,27.3,36.6,9,9.9,6.9,7.1,13.4,23.1,12.3,38.5,34.3,3.5,7.7,0.000656527,100
0500000US48427,32.8,11.2,29.1,43.5,56.5,44.2,0.3,0,97.3,48.8,51.2,28.6,13.3,31.2,33.5,38182,31.3,48427,TX,22.4,36.6,4.1,9.3,7.6,7.2,16.9,21.2,20,37.2,45,4.2,3.7,0.000248965,23.70587849
0500000US48429,21.4,19.7,41.6,45.9,54.1,79.3,3.2,1,24.9,54.8,45.2,8,18.2,60.3,13.5,54695,14.4,48429,TX,27.1,37.7,8.4,9.8,7.7,8.4,15.6,22.8,13.8,38.1,36.3,4,6,0.000321406,39.36656282
0500000US48431,36,13.2,31.4,41.3,58.7,81.7,0.1,0.1,32.2,53.5,46.5,5.5,24.5,31.4,2.7,78750,25.8,48431,TX,22,31.1,7.1,9.2,5.1,4.9,11.2,21.4,10.5,35.3,33.2,2.7,5.6,0,100
0500000US48433,26.8,25.6,46.5,49.2,50.8,92.2,0.6,0,22.7,47.7,52.3,8.5,14.1,49,8.7,61250,14.2,48433,TX,32.1,42.7,10.4,10,9.4,9.6,15,22.1,15.8,41.7,35.8,4.9,7.8,0.00074184,100
0500000US48435,27.3,15.9,34.9,52.9,47.1,49.2,0.1,0,65.4,50.8,49.2,8.3,15.5,20.4,11.6,75000,17.9,48435,TX,26.7,39.2,7.4,9.1,8.2,7.6,14,20.1,17.4,40,38.3,4.2,7.5,0.001070091,18.79844961
0500000US48437,24.3,17.6,36.5,43.4,56.6,69.1,8,1,45.8,56.7,43.3,11.6,20.1,63,29.5,39031,22.2,48437,TX,25.7,39.3,6.7,9.8,8.2,8.9,17.6,21.9,16.6,37.4,40.5,4.4,5.8,0.00013624,37.5732111
0500000US48439,25.7,12,35.1,44.3,55.7,52.1,17.5,5.9,29.9,49.1,50.9,6.2,34.5,34.7,10.9,81905,16.6,48439,TX,21.5,31.4,6,10.1,5.1,5.4,12.7,22.7,11.7,32.8,33.2,3,7.3,0.000585868,1.28820133
0500000US48441,24.6,14.8,33,43.4,56.6,70.5,8,2.3,24.8,49.1,50.9,3.7,29,32.3,13.5,66406,14.5,48441,TX,22.6,32.7,6.9,10,5.8,6.3,12.9,23.4,11.2,34.6,34.3,3.1,6.8,0.000711207,16.03348897
0500000US48443,14.1,37.1,60.9,42.7,57.3,83.4,0,0,42.8,53.8,46.2,1.7,32.3,73.1,8.2,46989,10.5,48443,TX,27.5,39.6,9.6,8.4,7.8,5.6,9.2,17.9,15,41.4,33.8,3.7,4.8,0,100
0500000US48445,28.1,15.1,35.7,45.4,54.6,56.9,4.4,0.2,56.2,53.1,46.9,11.7,11,37.6,21.8,45905,23.2,48445,TX,25.1,37.6,6.4,9.7,7.6,8.2,16.7,21.9,16.4,37.9,40.7,4.2,5.3,0.000410408,24.66998656
