"county_fips","per_highChol","pred_outcome"
"13011",39.5,38.3697634164443
"13013",36.1,36.1796907193488
"13015",35.1,36.5310375132216
"13017",39,40.2270669749437
"13019",39.6,40.0217051206922
"13021",36.1,37.4897353142189
"13023",37.7,38.0105242918477
"13025",40.4,39.5633562255384
"13027",40.6,40.746903972333
"13029",34,33.3382900124839
"13031",32.8,35.2404823918745
"13033",37.6,38.3697367174251
"13035",37,37.5822584774016
"13037",37,37.0278903317068
"13039",34.4,35.6806925483426
"13043",39.9,40.4431806585002
"13045",35.8,36.6810020470293
"13047",38.6,37.4932114164109
"13049",36.7,37.4431682897545
"13051",36.7,35.7671766344835
"13053",24.4,27.7552645167816
"13055",40.1,39.2668009416082
"13057",38.1,34.3714900838322
"13059",31.9,33.1312498902565
"13061",42.4,42.2135104059096
"13063",34,35.9250531233705
"13065",40.2,39.4640569418347
"13067",33.1,32.7023354560269
"13069",37.9,38.1956440299534
"13071",36.4,38.9837667137358
"13073",35.7,34.3285549225674
"13075",39.3,39.1403557543641
"13077",36.7,34.8553460471484
"13079",41.8,39.6348694631431
"13081",39.7,39.8133894536621
"13083",39.7,39.0521980749177
"13085",38.8,37.1034052478502
"13087",37.4,39.123295462958
"13089",35.1,33.540894053663
"13091",39.7,39.1850868221829
"13093",40,39.6773353125899
"13095",36.4,38.267940752526
"13097",35.2,34.8619848153726
"13099",39.9,40.4153960835958
"13101",36.8,39.379503594514
"13103",33.5,35.074333851519
"13105",40.4,40.4907597688429
"13107",38.1,38.9226035506344
"13109",38.7,38.7070604855316
"13111",43.3,42.9991937395443
"13113",39.6,34.8746203449356
"13115",38.1,37.6839759320055
"13117",35.3,31.0269196641725
"13119",39.4,39.6134500924422
"13121",30,31.5224418751817
"13123",43.3,41.3746755625963
"13125",39.4,39.6481163372063
"13127",37.1,38.970193649684
"13129",37.4,37.8575794073837
"13131",39.8,40.0724254463531
"13133",43,41.8291715429653
"13135",32.2,33.2291961289747
"13137",37.9,38.8555932822462
"13139",37.9,36.7986441761302
"13141",40.4,41.3013583596918
"13143",37.6,37.8474484176555
"13145",38.1,36.5179444398823
"13147",41.1,39.999454516183
"13149",39.3,39.3524036473503
