"county_fips","per_arthritis","pred_outcome"
"13065",32.9,30.4525371022418
"13067",22.8,20.5817556072469
"13069",29.4,28.3412809257185
"13071",29.1,28.6272103689233
"13073",27.3,23.9253026644271
"13075",30.8,29.6226115269416
"13077",26.9,24.9393213858833
"13079",32,30.9552022153565
"13081",36.2,31.0698587647678
"13083",28.8,29.8506730553312
"13085",27.9,26.7247896610842
"13087",30.1,30.8406523294913
"13089",22.7,22.2287928095425
"13091",34.1,30.6278522315872
"13093",35.3,29.6891801902243
"13095",29.8,29.7497874443782
"13097",25.6,24.3989362622308
"13099",34.2,32.5759507885671
"13101",30.3,28.3968507367117
"13103",25,25.3537021895802
"13105",33.1,33.2911462170421
"13107",31.5,29.8657237085914
"13109",31.5,29.5533925160004
"13111",37.7,34.5525955205839
"13113",26.9,24.5423174959092
"13115",29.8,28.1041714106133
"13117",24.2,19.1900506539863
"13119",31.8,30.5061153534139
"13121",20.4,20.0802548101963
"13123",32.9,32.4836163048626
"13125",36.1,32.9641227294485
"13127",29.7,29.6581816556881
"13129",30.1,27.5776426958338
"13131",31.3,30.113663386907
"13133",35.5,32.3193390598301
"13135",22.8,20.9159379483083
"13137",27.7,29.3681815059304
"13139",29.1,25.3505237089573
"13141",38.6,34.9922816740013
"13143",27,29.1745864246528
"13145",30.9,28.211866230573
"13147",32.1,31.6987952925638
"13149",30.4,31.1256746222784
"13151",24.5,24.6464377925862
"13153",28,24.1800062364743
"13155",34.5,28.8464024669738
"13157",29.4,25.8171213808188
"13159",31.5,30.0053011055737
"13161",31,28.9447570081539
"13163",33.1,32.0473343067458
"13165",33.7,33.6073138929126
"13167",33.1,29.0776781116051
"13169",32.4,30.7280541078095
"13171",29.9,29.7515230560762
"13173",30.4,30.326711798271
"13175",33.3,31.7559574018996
"13177",25.4,24.4408779874345
"13179",22.5,24.2480936063455
"13181",34.5,34.6572179065127
"13183",25.3,26.365363763312
"13185",24.7,26.1001560657677
"13187",27.3,28.6941292186854
"13189",31.4,30.6104833924863
"13191",37.8,35.8501217805766
"13193",33.9,28.764885657245
"13195",30.2,30.6046198338326
"13197",32.7,32.3651279232757
"13199",34.1,33.5844955783096
"13201",35.6,33.7348478969403
"13205",34.3,30.4798612295506
"13207",31.2,28.4589218722852
"13209",31.2,29.5931222150022
"13211",30.8,29.1571363549347
"13213",32.7,28.9804899062167
"13215",30.7,26.1320420065479
"13217",27.5,26.713232686595
"13219",26.4,22.2730371880453
"13221",32,29.5777160503158
"13223",26.6,23.658757121393
"13225",33.9,29.0528897837737
"13227",33.5,30.5976895074551
"13229",32.5,29.5459014496597
"13231",28,28.3308760660262
"13233",29.4,29.0595175145515
"13235",33,35.9964400645992
"13237",34.7,32.7962108785927
"13239",42.3,35.693705766827
"13241",37.4,33.4595977759286
"13243",42,34.9278005256587
"13245",27.8,27.5105200201726
"13247",30.2,25.8386626608324
"13249",32.1,28.0367360530104
"13251",34.5,32.7444806856591
"13253",34.6,33.1636294783596
"13255",30.8,30.5712536052575
"13257",32.2,31.3849696985726
"13259",24,22.7134838793887
"13261",32.5,30.7017154110478
"13263",37.4,35.589254883117
"13265",34.7,38.8530299473158
"13267",28,26.0189341967367
