"county_fips","per_depres","pred_outcome"
"13031",22.6,21.2102667724866
"13033",20.9,19.7414476998336
"13035",21.4,20.7638668797092
"13037",18.7,17.8928631904007
"13039",23.5,21.1673031328844
"13043",23.1,20.8541314530097
"13045",22.4,21.9111794145939
"13047",23.8,23.1282909692
"13049",20.4,20.4257770711189
"13051",19.9,18.420744104318
"13053",23.2,20.3627945356496
"13055",24,25.0339679485374
"13057",21.9,19.6473117426278
"13059",23.6,20.7862821017719
"13061",18.5,19.1436197513376
"13063",18.2,15.8151034755835
"13065",24.2,22.7602053036873
"13067",18.2,16.0362211706161
"13069",21.4,21.1728710918753
"13071",22.8,21.2668782730076
"13073",21.8,19.436138799559
"13075",22.2,21.4867192740303
"13077",21.6,20.0199257307145
"13079",21.7,21.1097583066672
"13081",21.1,20.314251831236
"13083",22.6,22.5866896566428
"13085",20.9,19.9308015422416
"13087",21.1,21.0144442129999
"13089",19.2,15.2932247450999
"13091",20,21.0971678556418
"13093",18.3,18.4137770461178
"13095",19.5,18.66479913142
"13097",19.3,17.2175147388551
"13099",20.1,19.9589926854297
"13101",22.1,21.386021438959
"13103",21.8,20.7208818137689
"13105",21.8,21.4673761152013
"13107",23.1,21.185284056351
"13109",22.5,20.4730614748517
"13111",23.2,20.6723003753388
"13113",18.3,17.1757029424518
"13115",24,21.9172233241946
"13117",18.7,17.3103125673262
"13119",24.5,22.31601466887
"13121",17.5,15.5857220311594
"13123",21.1,21.2099156795314
"13125",23.5,23.0753866854004
"13127",20.4,19.7984406699262
"13129",24,21.5390992699021
"13131",22.3,20.6741646101082
"13133",19,17.0465074656506
"13135",18.9,15.6641470785814
"13137",24.1,21.4635277786894
"13139",22.1,20.1111937881522
"13141",18.1,18.3138277491482
"13143",23.8,23.1516246109235
"13145",21.1,19.7616094268975
"13147",21.1,20.5032296519034
"13149",24.1,22.7102254589365
"13151",18.6,17.4418000712195
"13153",21,19.0576684659976
"13155",22.2,21.0308110970666
"13157",22.9,20.6556402283595
"13159",23.1,21.0434912994738
"13161",24.9,22.3373302616301
"13163",21.3,19.2637871272017
"13165",21.5,21.2819116370463
"13167",21,20.3085997959886
"13169",22,21.0920086889155
"13171",22.9,20.4432653950062
"13173",23.1,22.7969415400556
"13175",21.2,21.1643405449194
"13177",21.3,20.2840284981778
