county_fips,per_depres,pred_outcome
38047,19.7,16.644742012023926
29081,24.9,21.975820541381836
20157,20.3,18.27462863922119
28087,19.0,20.638676643371582
51590,22.1,22.255620002746582
51650,21.0,18.781763076782227
05029,24.9,25.671360969543457
17139,23.7,22.15397071838379
19105,19.8,18.36396884918213
27097,24.2,22.454423904418945
29151,24.2,20.58862018585205
40061,25.4,24.707218170166016
46057,20.1,18.443806648254395
54007,30.2,25.530038833618164
05111,26.8,27.676517486572266
21137,,27.989418983459473
17027,21.7,21.13123321533203
37147,25.2,21.92459487915039
29207,26.1,26.064858436584473
17045,22.8,21.26885414123535
21191,,26.75113582611084
36073,20.6,23.15727138519287
38011,19.2,17.885150909423828
01117,21.6,20.43798542022705
13217,18.8,19.284687042236328
39157,24.9,24.93545913696289
19135,20.5,19.40414047241211
18113,24.5,24.91905975341797
29141,26.1,24.817276000976562
36067,22.0,24.933162689208984
48493,20.9,21.495361328125
46087,20.5,17.33720302581787
48233,23.4,21.06334686279297
51840,24.2,22.026610374450684
40105,25.7,23.749287605285645
31129,16.9,18.534613609313965
48325,20.6,21.4349422454834
17005,22.8,21.180330276489258
45069,21.8,21.4080810546875
39069,24.8,22.571674346923828
21007,,24.079322814941406
46111,20.2,17.762042999267578
48009,23.8,22.76353359222412
21063,,28.62118148803711
38065,19.0,17.72591781616211
37063,22.9,18.941494941711426
19165,19.9,18.22187042236328
19175,20.6,21.45311737060547
47065,26.6,20.75772762298584
55087,23.7,21.562966346740723
17165,23.3,23.388992309570312
47109,30.2,26.46245765686035
31103,16.0,16.504061222076416
31113,16.2,16.216577529907227
40053,24.2,21.080163955688477
46007,22.4,19.199966430664062
48195,22.0,21.897632598876953
19103,21.0,21.576923370361328
17081,22.7,22.420812606811523
47015,30.3,27.75549030303955
18085,25.2,23.527938842773438
20059,21.3,22.591898918151855
27153,24.1,22.09918212890625
38077,21.6,19.45687198638916
23015,26.5,23.01386833190918
20057,17.9,21.0919132232666
17145,22.3,21.935327529907227
17093,19.4,20.271577835083008
29099,23.9,24.386505126953125
29105,25.9,24.823049545288086
26039,27.5,22.536187171936035
29127,25.0,24.857857704162598
42093,,21.759796142578125
26143,26.0,22.818230628967285
12009,18.6,19.60463047027588
31119,16.2,21.06676959991455
31135,17.0,15.885023593902588
35021,20.4,19.168609619140625
51173,26.0,25.030475616455078
27085,23.3,21.057066917419434
48155,23.8,21.694268226623535
31167,16.4,16.874272346496582
31179,18.2,19.706119537353516
38045,18.8,18.32395839691162
39089,25.8,22.05171489715576
05053,24.9,24.5734920501709
47111,30.7,28.01636791229248
20107,20.2,22.13656234741211
20061,21.8,21.337080001831055
19041,19.9,19.492189407348633
20169,20.7,22.3848876953125
20037,22.6,26.576982498168945
48095,20.0,20.43940544128418
48107,21.6,22.11923122406006
26043,27.5,20.42457866668701
37163,24.5,21.784095764160156
48117,20.9,20.457950592041016
26067,26.8,23.655847549438477
21141,,27.19148349761963
48127,20.9,22.856867790222168
27055,22.6,18.675487518310547
51025,20.8,20.069947242736816
27039,24.1,21.02366352081299
27047,22.6,20.38629722595215
26149,27.5,24.814571380615234
17051,22.4,24.696017265319824
17055,23.7,24.630348205566406
48131,19.4,21.139397621154785
21025,,29.292922973632812
27041,24.4,18.30548095703125
46067,20.3,17.770878791809082
48023,23.9,21.825419425964355
46047,20.0,19.27625274658203
46097,19.9,17.572401523590088
25003,25.1,21.833759307861328
27073,22.3,17.54439067840576
44003,24.7,21.136683464050293
51011,23.5,21.212148666381836
31003,16.6,17.359704971313477
56005,22.8,22.043506622314453
45061,21.1,19.09150218963623
48047,19.3,20.653215408325195
51013,21.2,18.22816562652588
51065,23.5,19.3955078125
53021,21.2,22.156521797180176
53059,25.2,23.923727989196777
51109,23.0,21.418551445007324
51115,23.1,20.154398918151855
48191,22.1,22.163432121276855
31023,16.3,17.07848072052002
05065,25.6,24.807798385620117
38043,19.7,18.389620780944824
37077,23.4,20.288225173950195
37109,25.1,22.771811485290527
51660,26.9,23.833760261535645
51690,23.2,22.277259826660156
19001,20.2,18.75733757019043
39073,27.1,25.555368423461914
13243,19.6,19.646026611328125
48507,20.8,20.817079544067383
48011,23.0,20.041730880737305
13265,17.5,18.631921768188477
19035,20.2,19.883563995361328
05025,24.6,24.947836875915527
08091,21.1,18.78785991668701
05147,24.4,24.144813537597656
48429,22.8,22.074923515319824
27109,24.1,21.69676971435547
13301,18.9,18.60861587524414
48359,24.3,21.647220611572266
29089,25.0,21.423595428466797
13125,22.5,23.96445369720459
13085,21.0,21.355557441711426
05123,21.7,22.20349884033203
55125,22.4,20.41657829284668
39093,25.2,21.355772018432617
28135,18.5,20.035452842712402
29021,24.8,22.883319854736328
48187,22.1,20.708948135375977
48235,22.5,21.397360801696777
12027,18.6,20.98362636566162
18039,25.2,22.670272827148438
48237,24.0,22.69948959350586
40037,24.9,23.417354583740234
29169,24.6,22.688775062561035
19039,20.6,21.020737648010254
08079,21.5,20.26966953277588
01061,25.7,23.942416191101074
01017,22.7,20.822479248046875
12081,17.4,20.99210548400879
08121,22.6,20.774858474731445
19079,19.5,17.96117877960205
20139,21.1,20.25751304626465
48311,21.3,20.044410705566406
19093,20.1,18.258362770080566
08099,22.4,21.44288444519043
39135,26.0,23.93083953857422
39137,24.2,20.74773597717285
17179,23.0,19.360456466674805
19161,19.8,16.74186134338379
48403,23.1,22.74601459503174
19181,20.5,18.769617080688477
19107,21.1,18.245729446411133
39155,25.6,24.120091438293457
48463,20.6,21.50556182861328
48469,21.6,21.76297092437744
08025,20.5,21.800785064697266
08027,22.0,21.006542205810547
08005,21.7,20.40775489807129
08043,23.2,20.3125638961792
48261,19.3,20.62363052368164
48433,22.1,22.081700325012207
48227,22.0,20.955890655517578
40001,26.3,22.974038124084473
36039,20.3,21.52528476715088
05047,27.0,27.230335235595703
36041,19.4,23.36387348175049
36113,21.0,22.228392601013184
36057,21.2,23.626689910888672
36093,19.3,21.9505615234375
51137,23.4,20.71043109893799
40091,26.1,24.750940322875977
37075,25.4,21.574588775634766
01131,21.4,20.10116481781006
01107,22.3,21.323606491088867
54061,29.4,24.133366584777832
29063,23.3,21.591288566589355
54085,30.5,25.97663974761963
31061,17.8,18.991348266601562
12007,20.3,21.58220863342285
48021,21.9,21.120726585388184
53051,24.6,23.21272373199463
13019,22.9,23.964935302734375
28067,19.9,23.341815948486328
51023,23.6,21.314642906188965
51067,24.0,22.609975814819336
32029,19.7,19.57303810119629
29139,25.1,25.12417507171631
13229,22.5,22.612513542175293
37127,22.8,20.4560604095459
47051,30.1,25.860307693481445
18035,29.3,25.430767059326172
20159,20.3,21.754990577697754
38049,19.8,16.908248901367188
20103,20.9,21.496893882751465
13079,20.6,21.860904693603516
20141,20.1,19.150452613830566
20163,21.3,19.126100540161133
26087,26.2,21.934632301330566
38041,20.0,17.934614181518555
18179,25.7,22.42099666595459
19087,20.1,19.217923164367676
22091,25.7,21.968710899353027
18097,25.5,25.18266201019287
18159,25.0,22.63961696624756
17141,21.8,20.324585914611816
20161,23.2,22.583768844604492
20089,20.5,18.996132850646973
20143,20.7,18.807454109191895
20179,20.0,18.60358428955078
13193,18.1,18.78286361694336
29015,24.1,23.200952529907227
13249,20.8,22.335969924926758
22049,26.5,25.40306854248047
51720,27.1,27.755508422851562
29067,25.3,25.048102378845215
51710,21.8,20.773929595947266
08001,20.7,21.979491233825684
51740,22.7,19.94480800628662
12023,20.1,22.197614669799805
54019,31.2,25.33384418487549
28099,21.3,22.726059913635254
12053,19.7,21.759926795959473
53069,25.4,21.827052116394043
40119,26.0,24.073001861572266
27139,22.3,19.928985595703125
20145,19.3,20.315032958984375
19155,21.9,20.04710865020752
27089,23.3,20.545560836791992
47131,30.2,26.484907150268555
13227,21.8,22.28270149230957
18095,26.8,24.0401668548584
19141,21.0,20.850214958190918
31143,16.5,16.463790893554688
48035,22.9,22.834575653076172
51167,26.3,25.230340003967285
35028,20.5,19.388354301452637
20047,19.8,20.30621910095215
06075,19.4,15.77677583694458
20075,18.6,20.320661544799805
28003,21.9,24.23537826538086
47115,30.4,28.315922737121582
05095,22.9,22.51812744140625
17039,22.5,20.936338424682617
21085,,28.492431640625
29205,25.2,23.92372989654541
48347,24.4,23.17648410797119
29181,27.1,26.011125564575195
18147,25.8,21.162468910217285
20173,22.6,24.107830047607422
28005,19.0,22.030795097351074
28033,19.7,21.671316146850586
28085,19.8,22.68479824066162
01007,24.4,24.13592529296875
34019,16.5,18.7827205657959
54095,29.8,24.15609073638916
18031,26.0,23.208958625793457
27013,26.6,23.816147804260254
38061,20.5,21.01356792449951
49007,28.5,20.163390159606934
31009,17.4,17.205809593200684
18087,27.2,24.667837142944336
19015,20.2,19.66944980621338
19099,20.4,19.32491111755371
11001,21.6,18.950064659118652
17195,21.5,19.505056381225586
45003,22.7,21.27488899230957
51043,23.3,20.728787422180176
18157,24.3,21.8634614944458
19081,20.2,19.58515453338623
31101,15.6,18.34861946105957
48171,21.0,20.32141876220703
55015,23.4,20.4057674407959
29051,23.2,22.59993553161621
28155,20.2,22.972355842590332
36037,21.1,22.761266708374023
49039,26.8,21.265165328979492
05127,25.1,24.639225959777832
51135,22.1,21.151281356811523
13123,20.7,22.825233459472656
19069,20.3,19.98399543762207
19123,21.1,20.48518657684326
47079,30.4,27.04017448425293
17115,21.7,20.423256874084473
17151,21.3,21.376747131347656
17155,21.1,18.1481294631958
46043,20.5,18.211663246154785
40145,24.5,23.332776069641113
48069,20.1,22.334193229675293
29073,24.6,22.639850616455078
42065,,24.378488540649414
27105,21.4,18.4708514213562
38031,19.8,17.083081245422363
51169,26.7,25.97119426727295
38039,18.1,14.845911502838135
38073,19.9,18.7627592086792
17197,18.9,17.451414108276367
21107,,24.963144302368164
17041,22.6,23.221890449523926
21157,,22.04474639892578
28017,19.1,20.80582332611084
18151,25.4,21.670401573181152
36033,21.9,23.158950805664062
13129,22.5,23.09867286682129
