county_fips,per_diabet,pred_outcome
19129,11.3,10.008267402648926
26001,16.0,14.68375825881958
48165,11.8,13.264543056488037
13201,17.8,16.854796409606934
18013,14.7,12.15140151977539
19023,12.6,11.576295375823975
40043,13.5,13.309507846832275
31151,11.8,12.320608615875244
37069,12.8,12.930158615112305
21219,,14.020570755004883
48393,11.6,11.590336322784424
54031,19.0,14.213635444641113
48399,14.7,14.127755641937256
48301,,15.78526496887207
31089,12.9,11.113269329071045
17175,12.7,12.7246675491333
48193,14.6,13.875000953674316
16009,13.5,13.53461742401123
19109,13.1,11.393681526184082
28141,15.0,14.82591962814331
31131,11.9,11.576847076416016
46051,12.8,11.448542594909668
16067,12.3,12.35623836517334
19157,11.4,11.073638916015625
22001,16.5,13.94031572341919
37079,15.9,16.406131744384766
42011,,11.535327911376953
51600,11.1,9.188921451568604
48335,13.3,14.0999755859375
51790,12.9,11.316137313842773
20171,11.4,10.801422119140625
31001,11.8,10.287954807281494
45053,17.0,16.266639232635498
38047,13.2,12.105027675628662
29081,14.7,13.964133739471436
20157,14.3,12.612662315368652
28087,15.5,14.992776870727539
51590,19.9,18.511021614074707
51650,15.0,13.751756191253662
05029,15.6,13.65303373336792
17139,11.6,12.063540935516357
19105,11.9,11.13782262802124
27097,12.0,11.351422786712646
29151,11.2,10.941543102264404
40061,15.4,15.525102615356445
46057,10.1,10.356565952301025
54007,19.1,16.446032524108887
05111,14.6,15.440269470214844
21137,,14.518865585327148
17027,11.3,10.647289276123047
37147,12.0,12.350869178771973
29207,14.2,14.628475666046143
17045,13.6,12.410340309143066
21191,,12.791385173797607
36073,11.7,12.789592742919922
38011,11.4,11.26332139968872
01117,11.2,10.831539630889893
13217,14.4,13.84681749343872
39157,13.6,12.875312328338623
19135,11.7,11.237284660339355
18113,13.2,11.822827339172363
29141,15.8,15.648754596710205
36067,10.9,11.273048877716064
48493,13.1,11.030241012573242
46087,11.0,10.238407135009766
48233,12.9,13.271872997283936
51840,14.2,11.296539306640625
40105,15.2,15.35912561416626
31129,12.7,12.594239711761475
48325,14.4,12.155491352081299
17005,11.6,11.36925745010376
45069,20.5,18.963607788085938
39069,13.1,12.40002965927124
21007,,14.028887271881104
46111,12.6,11.682681560516357
48009,12.7,12.020528316497803
21063,,17.55126190185547
38065,11.7,11.817433834075928
37063,10.5,11.083855152130127
19165,12.5,11.124477863311768
19175,12.1,11.978798866271973
47065,12.7,12.119617462158203
55087,10.3,9.175775051116943
17165,13.5,12.742507934570312
47109,16.2,14.715347290039062
31103,14.2,11.897797107696533
31113,12.0,12.119549751281738
40053,13.5,12.571709156036377
46007,18.7,17.545170783996582
48195,13.6,12.908761501312256
19103,8.8,8.354001522064209
17081,13.0,12.532177448272705
47015,14.5,13.124332904815674
18085,13.0,11.84134578704834
20059,11.5,11.392628192901611
27153,13.3,12.76973295211792
38077,10.5,10.062745094299316
23015,11.8,10.62948751449585
20057,13.1,12.166993141174316
17145,13.2,12.798044204711914
17093,9.4,9.009599685668945
29099,11.2,11.032782554626465
29105,14.0,13.548441410064697
26039,14.9,13.114338874816895
29127,12.8,12.862308025360107
42093,,11.21983003616333
26143,15.7,14.403966903686523
12009,13.1,11.245705604553223
31119,11.8,10.929811954498291
31135,11.9,12.383798599243164
35021,19.6,15.307849407196045
51173,15.4,15.194766521453857
27085,11.4,10.868180274963379
48155,18.2,15.964832782745361
31167,11.5,10.403491497039795
31179,9.7,8.963953018188477
38045,12.5,12.258410453796387
39089,12.9,11.204607009887695
05053,12.0,12.18701696395874
47111,14.6,13.629683494567871
20107,12.5,12.910971641540527
20061,9.3,10.131793975830078
19041,12.3,11.050443172454834
20169,12.1,11.449241161346436
20037,11.2,10.373661518096924
48095,14.2,11.70411491394043
48107,17.1,16.27601909637451
26043,12.6,11.06122350692749
37163,15.6,16.342058658599854
48117,16.4,14.295230865478516
26067,11.1,11.167264461517334
21141,,13.430312156677246
48127,23.4,18.54156494140625
27055,11.3,10.471493244171143
51025,18.2,17.227890968322754
27039,9.6,8.916889190673828
27047,12.9,12.149600982666016
26149,12.8,12.501949310302734
17051,12.7,12.867673873901367
17055,13.9,13.27138376235962
48131,18.8,16.110142707824707
21025,,16.126975059509277
27041,11.4,10.920362949371338
46067,12.1,10.934481143951416
48023,14.9,14.241393566131592
46047,16.4,13.336364269256592
46097,13.3,11.217212200164795
25003,10.9,10.800636768341064
27073,12.2,11.60270643234253
44003,11.8,10.491747379302979
51011,14.8,13.834010124206543
31003,12.9,12.108179569244385
56005,9.9,8.955987453460693
45061,20.1,19.213576316833496
48047,19.8,19.953943252563477
51013,8.0,7.79100489616394
51065,12.6,11.754166603088379
53021,10.8,11.674575328826904
53059,11.2,11.04418420791626
51109,14.1,12.672009944915771
51115,15.2,13.554860591888428
48191,17.5,17.541645050048828
31023,11.3,10.90209674835205
05065,15.9,14.497262477874756
38043,12.8,12.448869705200195
37077,13.6,13.00343656539917
37109,11.5,11.214745044708252
51660,10.2,10.251635074615479
51690,18.6,16.239097595214844
19001,13.1,11.74249792098999
39073,15.7,14.226704120635986
13243,24.9,21.475854873657227
48507,22.6,16.971842765808105
48011,12.6,12.036634922027588
13265,21.7,20.36796760559082
19035,13.7,12.010119915008545
05025,15.0,14.171541690826416
08091,10.0,9.507258415222168
05147,18.3,16.726685523986816
48429,13.8,14.430567741394043
27109,9.5,9.030792713165283
13301,20.2,20.49217700958252
48359,13.3,11.719504356384277
29089,12.0,11.608906745910645
13125,14.5,14.096680641174316
13085,11.6,11.01251220703125
05123,18.9,18.837592124938965
55125,13.8,12.584810256958008
39093,14.2,12.144009113311768
28135,18.9,19.400965690612793
29021,13.0,12.119065761566162
48187,12.8,11.025798797607422
48235,13.4,15.926918029785156
12027,17.6,17.228952407836914
18039,13.6,12.64234972000122
48237,13.4,13.521326065063477
40037,13.4,13.542586326599121
29169,8.6,9.893574237823486
19039,14.2,12.556199550628662
08079,10.5,10.580633163452148
01061,16.4,15.547770500183105
01017,17.9,16.97628402709961
12081,14.0,15.096923351287842
08121,10.5,12.137137413024902
19079,12.1,10.646893978118896
20139,12.5,12.450986385345459
48311,17.8,13.682952880859375
19093,12.4,11.390998840332031
08099,12.6,12.344828128814697
39135,13.4,12.531376838684082
39137,12.3,10.48363971710205
17179,11.2,10.961058139801025
19161,12.5,11.316342830657959
48403,16.6,14.902295112609863
19181,9.7,8.967987537384033
19107,13.4,11.584051609039307
39155,15.5,13.53984022140503
48463,15.7,15.098920822143555
48469,14.5,13.991806507110596
08025,11.0,12.8830246925354
08027,12.4,12.326621532440186
08005,8.5,8.204696416854858
08043,11.4,12.153355598449707
48261,18.5,16.269943237304688
48433,15.8,13.951365947723389
48227,13.7,13.529493808746338
40001,17.5,17.386120796203613
36039,11.7,11.923449039459229
05047,14.6,15.107697486877441
36041,13.4,13.046677112579346
36113,11.2,11.296235084533691
36057,11.5,12.693132877349854
36093,10.2,11.381077766418457
51137,12.9,11.946743488311768
40091,17.7,17.38630485534668
37075,13.1,14.844881534576416
01131,23.8,22.72071647644043
01107,18.0,17.129634857177734
54061,10.8,8.592508792877197
29063,12.5,11.549723148345947
54085,17.9,16.366413116455078
31061,14.2,13.90071153640747
12007,14.4,15.60905647277832
48021,13.4,12.53231954574585
53051,13.3,12.97193717956543
13019,16.0,15.601985454559326
28067,16.0,14.212390422821045
51023,13.0,11.675874710083008
51067,15.1,13.177353382110596
32029,12.4,11.939905166625977
29139,13.9,13.62386417388916
13229,14.3,14.049081325531006
37127,15.0,15.311366558074951
47051,13.9,13.254652976989746
18035,13.5,12.949399471282959
