county_fips,per_copd,pred_outcome
17063,6.4,6.0138280391693115
48053,7.8,8.274541854858398
17083,7.9,7.897080659866333
18131,10.2,10.073158264160156
31117,8.2,8.085583209991455
37083,11.5,10.9054274559021
21033,,10.723562240600586
19119,7.3,6.669805288314819
31055,5.6,5.603243589401245
27131,5.5,6.0596349239349365
05113,11.4,11.864756107330322
38035,5.3,5.056443214416504
51700,6.5,6.696434497833252
08125,7.8,8.0883469581604
39023,9.9,9.923090934753418
37105,8.0,8.115241527557373
38001,9.2,8.272224426269531
29221,11.9,11.775945663452148
33001,7.5,7.9468464851379395
24043,8.4,7.2803850173950195
20203,8.6,8.39359712600708
48129,8.9,9.10788869857788
42023,,11.094417572021484
51089,11.0,11.096176624298096
05099,11.8,11.098679542541504
40055,8.4,9.413720607757568
55057,9.1,8.694872856140137
46017,9.9,10.823709964752197
06047,6.1,6.33863639831543
16057,5.5,5.490859270095825
39169,8.7,8.733257293701172
48471,7.3,7.398760557174683
54013,16.2,15.066064834594727
32001,8.2,7.864673137664795
19197,8.7,7.742986679077148
31039,7.3,6.900801181793213
47123,11.8,11.37103271484375
13253,10.2,10.212238788604736
13235,10.2,10.40482234954834
13173,9.7,9.266295433044434
13255,8.8,9.047181606292725
17095,9.4,8.649497032165527
29201,9.9,9.7745041847229
48239,8.2,8.914828777313232
12041,9.7,10.162960052490234
37161,10.3,9.390655517578125
13043,9.8,10.317058086395264
19121,6.4,6.442425489425659
48383,5.5,6.0467305183410645
40049,9.6,9.864999294281006
54051,11.1,10.273386478424072
55009,6.1,6.130026340484619
21197,,11.351795196533203
18033,8.6,8.946057319641113
27005,7.2,7.520675897598267
36117,7.7,8.612479209899902
26069,12.7,11.181024551391602
28073,7.1,7.192547082901001
48179,8.2,8.745851993560791
18081,6.9,6.908408880233765
18111,10.0,9.949196338653564
27147,6.1,6.656739950180054
28131,8.6,9.603087425231934
46025,8.4,7.709371328353882
51595,10.1,10.301005363464355
21047,,7.776837110519409
31091,8.3,8.492387294769287
17201,8.3,8.040175437927246
21133,,15.996123790740967
47057,11.6,12.05224609375
27099,6.7,7.531285285949707
13245,7.5,7.578341007232666
12069,8.0,9.364835739135742
48279,7.9,9.0696120262146
39099,9.5,9.200680255889893
39011,8.1,8.107821464538574
48253,7.5,8.449585437774658
40125,8.9,8.854995250701904
56041,7.2,7.261990308761597
13105,9.6,10.536261558532715
20065,9.4,8.81912899017334
29229,12.6,12.470301628112793
31093,7.0,7.286703586578369
47099,11.2,10.719175815582275
51775,7.1,7.255018711090088
51101,6.7,7.352268695831299
01013,10.3,10.541571617126465
16063,7.3,8.101608276367188
17189,7.8,7.467896223068237
27107,7.3,7.6179821491241455
27141,4.9,5.664366245269775
18167,9.5,8.769519805908203
08105,7.1,7.658252000808716
48213,9.2,9.8770751953125
31083,8.0,8.110144138336182
40021,8.9,8.600720882415771
17011,8.9,8.471067428588867
37159,8.4,8.68578815460205
18029,8.3,8.519675731658936
55103,8.9,8.764098644256592
53061,4.8,5.122744083404541
54017,11.5,11.14528226852417
48003,6.1,6.486682653427124
13081,11.0,10.503688335418701
13167,10.7,10.601202011108398
17125,9.4,9.509654998779297
26161,5.4,5.326046705245972
27115,7.8,8.63533353805542
20083,6.9,7.415645599365234
29075,10.1,10.50121545791626
05031,7.9,7.390045881271362
16083,7.3,7.440612554550171
19143,9.3,8.162012815475464
16071,7.2,7.492907762527466
21055,,11.34788465499878
28009,10.2,10.578388690948486
28153,10.7,9.722525119781494
31015,9.3,8.78214693069458
06015,8.1,7.9309937953948975
18091,9.2,8.594053268432617
20181,7.8,7.198884010314941
22011,8.9,8.973032474517822
34023,4.4,4.940553426742554
46031,12.5,9.549353122711182
46127,5.9,6.023351192474365
45055,7.9,8.306279182434082
36109,4.8,5.49278450012207
29045,11.7,11.425763607025146
13089,5.2,5.258678436279297
54079,8.8,8.684350490570068
01059,10.7,9.442447662353516
48467,8.5,9.221219062805176
37093,7.0,7.315970420837402
26015,8.3,7.4128031730651855
31007,7.5,7.383655309677124
55089,5.4,5.69049334526062
37033,9.5,9.713194370269775
29113,7.9,8.453450202941895
45021,9.4,9.381462574005127
12003,8.3,9.194525241851807
18069,8.8,8.700983047485352
28057,8.2,9.40818166732788
25015,5.6,5.767949342727661
05149,9.9,9.839384078979492
19149,6.8,6.855208396911621
08061,8.9,8.59482479095459
01119,9.3,10.28535795211792
18175,10.6,9.922679901123047
01001,7.4,7.2630674839019775
13091,9.8,9.938748359680176
19091,8.7,8.28338623046875
19013,7.0,7.12804651260376
20207,9.4,9.501023769378662
27021,8.2,8.565880298614502
21207,,12.061016082763672
28029,9.7,9.180277347564697
29225,9.4,10.021419525146484
30093,7.6,7.297370433807373
39131,12.5,12.262176990509033
47177,10.8,10.984775066375732
48059,8.2,8.922895431518555
55001,10.1,9.395657062530518
54055,12.1,10.35948657989502
47147,8.2,8.492658615112305
39081,10.1,10.877885818481445
01025,9.7,10.184904098510742
12019,7.0,8.5031259059906
18055,10.5,9.975281715393066
20055,6.5,6.739208221435547
29085,16.0,12.933318614959717
28065,11.6,11.020463466644287
22127,10.3,10.091875076293945
35047,6.5,7.855807304382324
01087,8.8,9.993141651153564
13029,5.0,5.765945672988892
17089,5.7,5.71806788444519
18149,10.9,10.89909553527832
20087,7.3,7.038313150405884
22039,11.1,11.508067607879639
40093,9.1,8.905112266540527
31171,6.7,7.347280740737915
41003,5.7,5.3880836963653564
47007,13.5,12.01236867904663
21013,,15.455103874206543
47143,11.4,10.802153587341309
10001,7.6,7.289072275161743
54049,9.3,9.116934776306152
51810,5.6,5.30955696105957
13039,6.9,6.627049207687378
24035,6.8,6.6154608726501465
19031,7.4,7.521220445632935
19113,6.5,5.868687391281128
39003,9.1,9.035319328308105
06059,4.7,4.783401966094971
12057,6.0,8.300020933151245
16019,6.0,5.756943464279175
48385,11.0,11.518836975097656
46137,11.2,11.103024005889893
47159,9.7,9.859110832214355
04017,10.9,9.278310298919678
55019,9.0,8.094534158706665
13147,9.0,9.638138771057129
31111,8.0,7.409480333328247
21037,,7.21367621421814
26027,9.7,8.97613000869751
36111,6.9,7.6032843589782715
18125,10.2,9.816808223724365
18173,6.8,7.068966388702393
46073,8.1,8.318878173828125
12015,9.7,9.296087741851807
13111,10.6,9.977130889892578
19159,7.7,8.360657691955566
22125,6.9,7.574758052825928
28147,10.4,10.229276180267334
30061,9.3,9.802002429962158
34021,4.9,5.472570419311523
45011,11.6,10.899425983428955
47095,14.3,11.566598415374756
49009,8.2,6.969820261001587
39043,8.9,8.565345048904419
12013,11.1,9.648948192596436
16011,7.1,7.220943927764893
18071,8.8,8.915782451629639
20015,6.6,6.444316625595093
40137,9.8,9.822294235229492
27145,5.8,6.2894909381866455
29117,9.7,10.23952865600586
40031,7.5,7.179884433746338
38093,7.3,7.285151720046997
45067,11.8,11.088105201721191
48115,7.6,8.211895942687988
08009,10.7,9.86962080001831
55085,7.9,7.286151647567749
40071,9.6,9.220131874084473
51037,11.5,10.93255615234375
42109,,8.458761215209961
16055,7.2,7.384488821029663
17023,8.3,8.260942697525024
27151,7.8,8.249225378036499
38071,7.9,7.22088623046875
28061,10.0,10.326089859008789
17085,8.6,7.033865690231323
18077,9.2,9.288265228271484
29163,10.3,9.926515102386475
36055,6.3,6.69385838508606
36063,7.7,8.417919635772705
47167,8.9,8.46967077255249
51121,6.0,5.2549121379852295
55091,7.4,7.361626863479614
05079,8.8,9.558328628540039
16061,10.9,9.824471473693848
39055,7.6,7.44325065612793
21067,,6.583475351333618
27061,7.5,8.38137698173523
28145,9.3,9.164031028747559
30095,7.5,7.247715950012207
42047,,8.806660175323486
21041,,11.287849426269531
47023,9.8,9.986546039581299
51685,5.5,5.645298004150391
48481,7.4,8.609671592712402
54091,11.2,10.415542602539062
55065,8.0,7.465932369232178
29083,11.1,10.880327224731445
30099,8.1,8.268106698989868
31025,6.2,6.057499885559082
48405,14.1,12.43618106842041
26145,9.6,8.697279930114746
28077,11.8,10.007623672485352
20035,8.0,8.19899845123291
12017,11.1,10.133022785186768
13281,9.7,8.714694023132324
25023,6.4,6.209415912628174
26153,11.9,10.892784118652344
28095,9.9,9.975306034088135
34015,5.4,6.067331790924072
39039,8.2,8.715233325958252
42085,,9.168808460235596
51051,12.6,13.924224376678467
01053,11.4,10.645138263702393
01039,10.4,10.923724174499512
13101,7.4,9.34374475479126
17003,12.1,12.021676063537598
27169,5.8,6.493271112442017
34031,5.8,6.3102943897247314
38087,9.4,7.501700401306152
42105,,10.111361026763916
45005,10.7,10.912275314331055
16043,7.1,7.400490760803223
17069,10.5,10.27228593826294
18123,9.2,8.557616233825684
27031,6.6,7.805797815322876
49033,6.9,7.230793476104736
51185,10.9,11.183429718017578
53063,6.0,6.237813949584961
37181,9.4,9.862088203430176
05071,10.3,10.197129726409912
08051,4.6,5.291894912719727
12107,13.0,10.159422397613525
18079,9.9,9.541142463684082
40109,7.0,6.899429798126221
28115,8.6,8.388008117675781
21175,,12.079663753509521
31019,5.8,5.714248895645142
27079,5.8,6.559647560119629
37125,7.0,7.413019180297852
45047,8.6,8.416821956634521
49035,4.4,4.676367521286011
48297,8.7,10.26037073135376
56015,8.1,7.3752124309539795
47161,9.8,10.487015724182129
01021,8.8,9.635375022888184
04021,7.5,7.387494087219238
13177,5.9,5.8745152950286865
13109,9.6,9.68264627456665
19117,9.6,9.545105457305908
21211,,7.75007700920105
27087,10.2,10.751104831695557
29167,10.1,10.153454303741455
30037,11.1,9.630760669708252
38069,7.5,7.904836416244507
