"county_fips","per_diabetes","pred_outcome"
"13261",16.7,16.2028007507324
"13263",22.1,20.3706474304199
"13265",21.7,20.6905689239502
"13267",16,15.3680038452148
"13269",20.2,18.6215324401855
"13271",20.5,18.417989730835
"13273",21.2,20.9433059692383
"13275",16,14.997727394104
"13277",15.8,14.6219463348389
"13279",15.5,14.9367713928223
"13281",15.9,13.4263858795166
"13283",18.3,16.9067535400391
"13285",15,14.6714248657227
"13287",18.5,17.3049125671387
"13289",18.6,17.6148529052734
"13291",15.7,15.1631298065186
"13293",16.3,15.5663795471191
"13295",13.5,13.0194644927979
"13297",13,12.2193422317505
"13299",16.8,15.5856485366821
"13301",20.2,20.3834590911865
"13303",18.7,15.7183618545532
"13305",15.8,14.8862733840942
"13307",21,18.6092777252197
"13309",16,14.1770038604736
"13311",13.2,12.7300968170166
"13313",14.1,12.8731784820557
"13315",17.4,15.9919538497925
"13317",18.9,17.6547031402588
"13319",17.7,17.6420955657959
"13321",16.9,15.9215450286865
"16001",9,8.82839870452881
"16003",13.9,14.2689075469971
"16005",9.7,9.6631441116333
"16007",11.6,11.1295547485352
"16009",13.5,13.8436698913574
"16011",11.2,11.2926063537598
"16013",10.2,10.0281085968018
"16015",12.1,12.6295824050903
"16017",11.8,13.0523405075073
"16019",9.4,9.50086784362793
"16021",12.6,13.848237991333
"16023",15.2,14.087776184082
"16025",11.8,12.1705913543701
"16027",11.2,11.1665649414062
"16029",10.5,10.8704795837402
"16031",11,11.8471212387085
"16033",13.8,13.4120311737061
"16035",13.1,14.0794010162354
"16037",13.4,14.6197528839111
"16039",10.4,11.7126150131226
"16041",9.4,10.3422660827637
"16043",10.5,10.9802026748657
"16045",11.5,12.2804861068726
"16047",13,14.8112268447876
"16049",12.8,14.1982498168945
"16051",9.1,9.16742324829102
"16053",12.6,12.7839832305908
"16055",9.9,10.8719797134399
"16057",7.8,8.73333644866943
"16059",12.7,13.0318956375122
"16061",15.1,14.7427854537964
"16063",11.5,13.3425693511963
"16065",4.9,7.56967639923096
"16067",12.3,13.4328851699829
"16069",10.8,10.9886865615845
"16071",10.5,11.1464281082153
"16073",13.4,14.5635976791382
"16075",11.8,12.336012840271
"16077",12.1,12.9963970184326
"16079",13.5,14.1998519897461
"16081",9.2,9.21801853179932
"16083",11,11.112398147583
"16085",13.1,9.45645618438721
"16087",14.5,14.0527992248535
"17001",12,11.2625007629395
"17003",19,18.1905899047852
"17005",11.6,11.0822334289551
"17007",12.2,11.8442411422729
"17009",11.7,11.0053415298462
"17011",13.2,11.8897552490234
"17013",11.9,11.5291681289673
"17015",13.3,12.6772289276123
"17017",13.4,12.4913835525513
"17019",9.6,9.08523178100586
"17021",12.3,11.55055809021
"17023",12,10.3530406951904
"17025",13.9,13.1394424438477
"17027",11.3,10.3594303131104
"17029",11.4,11.4219980239868
"17031",11.8,11.9883136749268
"17033",12.1,11.501238822937
"17035",11.9,11.6530313491821
"17037",10.3,10.3339614868164
"17039",12.2,10.4788465499878
"17041",11.7,12.5111389160156
"17043",10,9.23270988464355
"17045",13.6,12.4092874526978
"17047",14.1,14.1791162490845
"17049",11.3,10.4034261703491
"17051",12.7,12.505241394043
"17053",12.4,11.8372764587402
"17055",13.9,12.8738250732422
"17057",13,11.6867561340332
"17059",14.6,13.3378896713257
"17061",13.2,11.9262990951538
"17063",10.3,9.54222297668457
"17065",13.9,12.2410535812378
"17067",13.2,11.8547868728638
"17069",14.7,14.4866237640381
"17071",14.1,12.0204305648804
"17073",11.9,11.2035446166992
"17075",13.9,12.8829441070557
"17077",11.6,11.2737045288086
"17079",12,10.5737295150757
"17081",13,12.4123382568359
"17083",11.7,11.4699945449829
"17085",13.2,11.7402477264404
"17087",12.9,13.069504737854
"17089",11.5,10.787205696106
"17091",13,12.1575317382812
"17093",9.4,9.04892444610596
"17095",13.5,12.8021821975708
"17097",11.2,9.4902458190918
"17099",12.4,12.0661239624023
"17101",12.8,12.0388746261597
"17103",12.8,11.2718667984009
"17105",12.2,11.5882749557495
"17107",11.6,11.2024250030518
"17109",11.4,11.0845775604248
"17111",10.5,9.48220062255859
"17113",9.5,9.10488319396973
"17115",13.3,12.8937463760376
"17117",12.8,12.1049547195435
"17119",11.2,10.4880027770996
"17121",13.3,12.9753198623657
"17123",13,11.9121913909912
"17125",13.3,12.8864059448242
"17127",14.1,13.8543758392334
"17129",11.7,10.4327125549316
"17131",12.4,11.5375738143921
"17133",10.1,8.99182891845703
"17135",12.6,11.9859247207642
"17137",12.6,11.6088752746582
"17139",11.6,11.9204959869385
"17141",12.2,10.6629304885864
"17143",12.6,11.2279872894287
"17145",13.2,12.7353229522705
"17147",10.9,10.0808696746826
"17149",13.3,12.3944959640503
"17151",14.9,13.0997905731201
"17153",18.4,18.581413269043
"17155",12.1,11.8222723007202
"17157",12.9,12.0915021896362
"17159",12.5,11.7844591140747
"17161",13.1,12.4695825576782
"17163",13.1,12.3142938613892
"17165",13.5,12.6249694824219
"17167",11.9,10.5534420013428
"17169",14.4,13.7369241714478
"17171",12.3,11.0446710586548
"17173",13,12.3460493087769
"17175",12.7,12.1160736083984
"17177",13.9,13.4019155502319
"17179",11.2,10.1719942092896
"17181",14.1,13.0744771957397
"17183",14.4,13.1789045333862
"17185",13.3,12.7293834686279
"17187",12.3,11.7086172103882
"17189",11.7,10.7039108276367
"17191",13.6,12.9952716827393
"17193",14.5,14.4215240478516
"17195",13,12.1144533157349
"17197",10.7,10.1585149765015
"17199",12.4,10.8975381851196
"17201",13.9,13.0090637207031
"17203",10.6,8.99369049072266
"18001",14.1,13.5257921218872
"18003",12.9,11.2825698852539
"18005",12.4,9.76084423065186
"18007",14.2,11.514289855957
"18009",16.4,14.9395389556885
"18011",10.5,8.65426063537598
"18013",14.7,11.9990329742432
"18015",13.9,12.039794921875
"18017",15.3,12.3741149902344
"18019",12.5,10.5736856460571
