"county_fips","per_highChol","pred_outcome"
"08115",37.5,39.4822654724121
"08117",29,32.9104766845703
"08119",35.2,38.0312271118164
"08121",33.1,37.6747245788574
"08123",30.1,33.5160789489746
"08125",33.6,37.7956085205078
"10001",35.5,37.6653251647949
"10003",35.3,34.8588104248047
"10005",41.4,40.4751434326172
"11001",29.1,30.6552963256836
"12001",NA,33.792911529541
"12003",NA,36.5400657653809
"12005",NA,38.8310127258301
"12007",NA,39.1438179016113
"12009",NA,37.592399597168
"12011",NA,37.3319396972656
"12013",NA,40.1361351013184
"12015",NA,42.0797004699707
"12017",NA,42.5070343017578
"12019",NA,37.154914855957
"12021",NA,39.361930847168
"12023",NA,39.956226348877
"12027",NA,41.181324005127
"12029",NA,41.9333152770996
"12031",NA,35.4111213684082
"12033",NA,37.2544097900391
"12035",NA,42.3596153259277
"12037",NA,40.3606376647949
"12039",NA,39.3232612609863
"12041",NA,39.7184829711914
"12043",NA,43.8513336181641
"12045",NA,40.0545654296875
"12047",NA,40.8131675720215
"12049",NA,40.2535247802734
"12051",NA,38.1359214782715
"12053",NA,40.084846496582
"12055",NA,42.3443336486816
"12057",NA,35.7128829956055
"12059",NA,40.1490936279297
"12061",NA,43.3368911743164
"12063",NA,40.6712417602539
"12065",NA,41.7305793762207
"12067",NA,40.0838088989258
"12069",NA,40.6274070739746
"12071",NA,39.5151138305664
"12073",NA,33.8049087524414
"12075",NA,42.8077774047852
"12077",NA,37.0815773010254
"12079",NA,42.2625389099121
"12081",NA,39.7071952819824
"12083",NA,41.8812980651855
"12085",NA,39.7434234619141
"12086",NA,37.5722045898438
"12087",NA,38.4957275390625
"12089",NA,38.4109535217285
"12091",NA,35.7158126831055
"12093",NA,40.7865905761719
"12095",NA,34.3851356506348
"12097",NA,35.7117881774902
"12099",NA,38.0890922546387
"12101",NA,38.4386672973633
"12103",NA,39.0952453613281
"12105",NA,38.160514831543
"12107",NA,42.4092292785645
"12109",NA,38.5862846374512
"12111",NA,39.401008605957
"12113",NA,35.2279624938965
"12115",NA,42.2347984313965
"12117",NA,35.2142944335938
"12119",NA,41.2593803405762
"12121",NA,40.3408508300781
"12123",NA,40.0012664794922
"12125",NA,37.7867736816406
"12127",NA,39.349666595459
"12129",NA,36.6152763366699
"12131",NA,37.4294319152832
"12133",NA,39.5082626342773
"13001",39.6,41.3661079406738
"13003",38.4,37.9827613830566
"13005",40.1,40.0082473754883
"13007",42.6,42.3329582214355
"13009",35.8,37.2718544006348
"13011",39.5,38.4257316589355
"13013",36.1,36.8798751831055
"13015",35.1,36.6441497802734
"13017",39,40.6707496643066
"13019",39.6,40.8323822021484
"13021",36.1,37.5895843505859
"13023",37.7,38.8031349182129
"13025",40.4,41.2486534118652
"13027",40.6,41.0639305114746
"13029",34,35.4314270019531
"13031",32.8,32.2851676940918
"13033",37.6,38.6710319519043
"13035",37,38.3532676696777
"13037",37,37.8723831176758
"13039",34.4,34.8724365234375
"13043",39.9,40.0876579284668
"13045",35.8,36.4272994995117
"13047",38.6,37.7099304199219
"13049",36.7,38.957935333252
"13051",36.7,37.5866737365723
"13053",24.4,26.7546482086182
"13055",40.1,40.8314170837402
"13057",38.1,36.182689666748
"13059",31.9,32.4415054321289
"13061",42.4,42.3992958068848
"13063",34,34.4486923217773
"13065",40.2,39.5510940551758
"13067",33.1,34.728889465332
"13069",37.9,38.8919906616211
"13071",36.4,38.1608810424805
"13073",35.7,37.6369895935059
"13075",39.3,39.3403663635254
"13077",36.7,37.0239372253418
"13079",41.8,39.752758026123
"13081",39.7,39.0365219116211
"13083",39.7,39.7710838317871
"13085",38.8,36.1741752624512
"13087",37.4,38.968677520752
"13089",35.1,35.0561180114746
"13091",39.7,39.7326850891113
"13093",40,41.2081909179688
"13095",36.4,38.5780906677246
"13097",35.2,35.7750396728516
"13099",39.9,39.6030464172363
"13101",36.8,37.8867111206055
"13103",33.5,35.556396484375
"13105",40.4,40.1777687072754
"13107",38.1,39.1803894042969
"13109",38.7,39.1125221252441
"13111",43.3,42.9665260314941
"13113",39.6,40.2195663452148
"13115",38.1,38.5333557128906
"13117",35.3,34.9005737304688
"13119",39.4,40.3705520629883
"13121",30,32.6748123168945
"13123",43.3,43.8269653320312
"13125",39.4,39.8116111755371
"13127",37.1,39.1686134338379
"13129",37.4,38.5787200927734
"13131",39.8,39.9194679260254
"13133",43,42.5914726257324
"13135",32.2,34.0373153686523
"13137",37.9,38.9849624633789
"13139",37.9,38.3325309753418
"13141",40.4,43.2989463806152
"13143",37.6,38.3174057006836
"13145",38.1,38.687370300293
