"county_fips","per_smoking","pred_outcome"
"08093",13.1,14.0554046630859
"08095",16.2,18.1432113647461
"08097",8.5,10.0290660858154
"08099",16.1,18.2233352661133
"08101",14,15.8433275222778
"08103",15.5,18.155782699585
"08105",11.9,13.968189239502
"08107",12.2,11.6269330978394
"08109",17.1,16.6845798492432
"08111",14,13.6504640579224
"08113",11.9,11.6015510559082
"08115",16,16.2464923858643
"08117",12.1,12.3145027160645
"08119",11.9,12.5693626403809
"08121",13.7,16.1978511810303
"08123",12.7,14.5614376068115
"08125",15,16.5811672210693
"10001",14.6,16.5083637237549
"10003",14,13.1347637176514
"10005",13.7,13.4188661575317
"11001",11.2,10.5744409561157
"12001",13.1,14.4392461776733
"12003",19.1,18.7331295013428
"12005",15.8,14.5660638809204
"12007",20.9,23.0729103088379
"12009",13.1,13.4053182601929
"12011",13.4,13.2419300079346
"12013",19.8,21.6968574523926
"12015",13.9,14.1930627822876
"12017",13.5,16.3742656707764
"12019",13.5,14.3494110107422
"12021",11.5,12.2741422653198
"12023",19.4,18.9154376983643
"12027",19.8,22.2558403015137
"12029",22.1,19.8470268249512
"12031",14.9,14.9609088897705
"12033",15.9,15.6099767684937
"12035",13.4,14.2129964828491
"12037",17.7,17.7709255218506
"12039",17.7,20.3589496612549
"12041",18.8,17.062068939209
"12043",20.3,21.8097515106201
"12045",16.8,17.8118686676025
"12047",21.9,25.1620464324951
"12049",19.9,25.6359176635742
"12051",18.4,19.2945442199707
"12053",15.9,15.2484369277954
"12055",15.6,16.5267543792725
"12057",12.8,13.1525373458862
"12059",21.6,19.9479465484619
"12061",13.5,14.2532253265381
"12063",22,21.2492523193359
"12065",17.9,18.9626235961914
"12067",21.9,21.5614795684814
"12069",14.8,14.5842933654785
"12071",12.2,12.8395051956177
"12073",12.3,13.5429630279541
"12075",18.2,18.5989532470703
"12077",21.2,22.5876998901367
"12079",22,22.4913482666016
"12081",15.1,13.62659740448
"12083",16.7,15.7075004577637
"12085",13.4,12.0226011276245
"12086",13,16.2768669128418
"12087",13.5,11.4938182830811
"12089",12.6,14.9474353790283
"12091",14.7,13.9481401443481
"12093",20.4,19.2262935638428
"12095",12.4,12.5879259109497
"12097",13.3,14.3170175552368
"12099",12.1,13.1490306854248
"12101",13.5,14.3934726715088
"12103",15,13.8253965377808
"12105",16.3,16.409086227417
"12107",20.8,21.6752147674561
"12109",8.9,11.3634719848633
"12111",14.6,14.3981866836548
"12113",14.8,14.8898086547852
