"county_fips","per_heartDisease","pred_outcome"
"29147",6.7,7.15093749999999
"29149",10.4,10.1570833333333
"29151",6.9,6.99747916666668
"29153",12,10.8767708333333
"29155",9.7,9.13010416666671
"29157",7.7,7.27841666666666
"29159",7.4,7.07781249999999
"29161",7.1,6.52135416666667
"29163",8.3,7.75245833333334
"29165",5.6,5.26962499999999
"29167",8.1,7.85618750000001
"29169",4.5,5.27758333333333
"29171",8.7,9.25435416666669
"29173",8.8,8.15366666666667
"29175",7.6,7.48154166666669
"29177",7.9,7.75270833333333
"29179",10.2,9.09608333333333
"29181",9.7,9.35195833333332
"29183",5.6,5.51597916666664
"29185",10.5,9.92716666666665
"29186",7.9,7.56135416666666
"29187",7.7,7.50570833333334
"29189",6.1,5.86745833333333
"29195",7.1,6.91902083333333
"29197",7.6,8.1874375
"29199",8.4,8.15441666666666
"29201",7.8,7.41116666666667
"29203",9.5,9.30143749999999
"29205",9.6,8.70945833333333
"29207",8.8,8.65129166666665
"29209",10.2,9.42010416666665
"29211",8.9,8.41295833333333
"29213",8.3,7.83979166666665
"29215",9.6,8.84299999999999
"29217",9,8.57070833333333
"29219",7.3,6.99216666666666
"29221",8.8,8.55035416666667
"29223",11.1,10.6977083333333
"29225",7.4,7.22481250000001
"29227",9.9,9.7320625
"29229",9.5,8.68185416666667
"29510",6.1,5.68822916666666
"30001",7.4,7.46564583333335
"30003",8.3,7.50179166666667
"30005",8.3,7.6255
"30007",7.2,8.0609583333333
"30009",8,8.23485416666667
"30011",9.2,9.50949999999998
"30013",6.7,6.85216666666666
"30015",7.9,7.90795833333333
"30017",6.8,6.74779166666667
"30019",8.1,8.40214583333334
"30021",6.8,7.10391666666665
"30023",8.8,8.82908333333333
"30025",6.8,8.14618750000001
"30027",8,8.61289583333333
"30029",6.5,6.87210416666666
"30031",4.3,4.75795833333333
"30033",8.3,8.87504166666668
"30035",8.5,8.1777083333333
"30037",10.6,9.51560416666668
"30039",9,8.60641666666668
"30041",7.5,6.74087500000002
"30043",6.7,7.56618750000001
"30045",9.2,8.78654166666667
"30047",8.3,8.29502083333332
"30049",6,6.14970833333332
"30051",9.6,8.13187499999999
"30053",9.9,9.84912500000002
"30055",8.1,8.55814583333333
"30057",7.7,7.7295625
"30059",9.1,8.79352083333336
"30061",9.1,8.78666666666669
"30063",5.2,5.44158333333333
"30065",8.6,9.31516666666667
"30067",7.3,7.43829166666666
"30069",9,8.34641666666668
"30071",8.2,8.24299999999999
"30073",8.9,8.49664583333332
"30075",8.4,8.61022916666668
"30077",7.6,7.54341666666665
"30079",12.3,9.88422916666667
"30081",7.5,8.20316666666667
"30083",6.2,6.75510416666668
"30085",7.5,7.91839583333332
"30087",8.2,8.0898125
"30089",10.2,9.64739583333334
"30091",7.9,8.02812500000001
"30093",6.8,6.90552083333332
"30095",7.3,7.98639583333334
"30097",7.9,8.03252083333333
"30099",7.8,7.94712499999998
"30101",7.5,7.00474999999999
"30103",9.2,7.8615
"30105",8.2,8.40377083333333
"30107",9.1,10.6179375
"30109",8.2,8.34837499999999
"30111",6,6.16054166666667
"31001",7.1,6.68774999999999
"31003",8.2,8.27270833333334
"31005",8,7.07966666666667
"31007",8.2,8.4323125
"31009",8.3,8.87681250000002
"31011",8.2,7.96968750000001
"31013",7.7,7.1560625
"31015",9.8,9.39414583333336
"31017",8.5,8.67758333333331
"31019",5.9,5.84689583333334
"31021",8.3,8.40122916666665
"31023",7.1,7.19331249999999
"31025",6.4,6.28760416666668
"31027",7.3,7.49254166666665
"31029",8.1,8.58237499999997
"31031",8.2,7.44541666666665
"31033",7.9,7.66483333333334
"31035",7.3,7.52179166666668
"31037",6.6,6.39089583333333
"31039",7.7,7.38012499999999
"31041",7.7,7.62308333333332
"31043",6.3,5.95658333333333
"31045",6.5,6.74510416666665
"31047",7,6.83266666666666
"31049",9.1,8.43860416666666
"31051",8.3,7.50016666666668
"31053",7,7.06254166666667
"31055",5.3,5.0738125
"31057",9,8.30904166666666
"31059",7.6,7.98977083333334
"31061",9.5,9.17308333333331
"31063",7.9,8.33187499999999
"31065",8.7,8.38312499999998
"31067",7.9,7.88781250000001
"31069",10.2,9.58527083333334
"31071",8.4,8.02654166666668
"31073",8,8.09477083333333
"31075",7.8,7.39027083333333
"31077",8.3,8.38720833333334
"31079",6.7,6.3241875
"31081",6.8,6.74441666666667
"31083",8.5,8.44833333333333
"31085",9.5,8.69056250000002
"31087",8.7,8.49366666666666
"31089",8.2,7.59899999999999
"31091",8.6,8.62954166666667
"31093",7.3,7.64458333333332
"31095",8.1,8.44597916666664
"31097",6.8,7.01370833333334
"31099",6.7,6.5659375
"31101",8.5,8.53991666666663
"31103",10.1,8.26402083333331
"31105",9.7,9.31745833333333
"31107",8.9,8.67135416666668
"31109",5.5,5.24335416666668
"31111",8,7.35937500000001
"31113",7.8,7.63174999999999
"31115",8.7,8.45320833333332
"31117",9.2,7.51139583333332
"31119",6.7,6.67710416666667
"31121",7.5,7.70647916666665
"31123",8.3,7.76227083333334
"31125",7.8,8.55268749999999
"31127",7.4,7.18206249999999
"31129",8.4,8.31660416666667
"31131",7,7.07358333333332
"31133",9.9,9.32020833333333
"31135",7.6,7.99931249999998
"31137",7.3,7.28583333333333
"31139",7,7.26716666666666
"31141",6.8,6.5224375
"31143",7.6,7.92377083333334
"31145",7.6,7.30697916666665
"31147",8.4,8.37347916666666
