"county_fips","per_heartD","pred_outcome"
"12053",10.5,7.16735416666667
"12055",13.1,7.049875
"12057",6.5,6.41691666666666
"12059",9.9,9.0655
"12061",11.1,6.55595416666667
"12063",9.8,8.84034583333332
"12065",9.3,8.6622125
"12067",10.4,8.59228333333333
"12069",9.7,6.81163333333333
"12071",10.1,6.79293333333333
"12073",5.8,6.391675
"12075",10.6,8.96424166666666
"12077",8.7,8.02113333333332
"12079",10.4,9.33209583333334
"12081",9.8,7.04309166666667
"12083",11,6.964675
"12085",10.4,6.61298749999999
"12086",7.7,6.63726250000001
"12087",8.6,6.88654583333333
"12089",8.4,6.71977083333333
"12091",6.8,6.87900416666667
"12093",10.2,8.08889583333334
"12095",6,5.60876249999999
"12097",6.6,5.9855625
"12099",9.6,6.84145
"12101",8.1,6.89580833333333
"12103",9.7,6.99705416666667
"12105",8.6,6.8531625
"12107",11.3,8.81160833333333
"12109",6.9,6.636825
"12111",9.2,6.72650833333335
"12113",7.2,7.10065416666668
"12115",10.4,7.09236666666668
"12117",6.5,6.4156625
"12119",13.6,6.63805833333333
"12121",10.1,8.630525
"12123",10.3,8.73338333333331
"12125",8.6,8.07132916666668
"12127",8.3,6.74590416666667
"12129",7.4,7.18508749999998
"12131",8.2,7.64689166666666
"12133",9.2,8.72952083333333
"13001",8.7,8.76758750000001
"13003",8.9,8.32739166666666
"13005",8.4,8.30357916666668
"13007",11.2,9.0796
"13009",7.3,7.10944583333334
"13011",7.9,7.63687916666666
"13013",6.1,5.77846666666666
"13015",6.8,6.40952083333333
"13017",9.4,8.44217499999999
"13019",9,8.13939583333333
"13021",7.9,7.24852916666666
"13023",7.8,7.04522083333333
"13025",8.9,7.97452500000002
"13027",10,8.886875
"13029",5.3,4.94982916666668
"13031",5.6,5.63769166666667
"13033",7.8,7.80497500000002
"13035",7,7.33547500000002
"13037",8.4,8.55109166666666
"13039",6.7,6.28929583333333
"13043",9.6,8.29277499999999
"13045",6.3,6.47059166666666
"13047",7.1,7.0965625
"13049",8.4,8.29590833333334
"13051",6.2,5.97265
"13053",3.7,3.91200416666669
"13055",9.1,8.79917500000003
"13057",6.7,5.7304125
"13059",5.6,4.87621666666666
"13061",10.5,10.07945
"13063",5.8,5.62441666666667
"13065",9.2,8.80462916666666
"13067",5,5.11435833333334
"13069",7.6,7.91145416666668
"13071",8.2,7.97509999999999
"13073",6.5,5.41018333333333
"13075",8.2,7.88898749999998
"13077",6.1,5.86725
"13079",8.7,8.28459166666665
"13081",8.8,8.87641666666669
"13083",7.6,7.92872916666666
"13085",7.3,6.89254583333332
"13087",8.5,7.99212083333332
"13089",5.6,5.26291666666667
"13091",8.3,8.30436666666665
"13093",8.9,9.22044583333335
"13095",8.4,7.3946291666667
"13097",6,5.3335625
"13099",8.9,8.75087083333334
"13101",6.9,6.96459583333334
"13103",5.5,5.44659583333335
"13105",8.9,8.64238333333334
"13107",8.2,8.21490416666666
"13109",8.6,8.01146666666667
"13111",10.7,9.69874583333335
"13113",6.4,5.94149583333335
"13115",8.2,7.10491250000002
"13117",5,4.7962875
"13119",8.3,7.83220833333334
"13121",4.8,4.81794583333333
"13123",9.6,8.99085833333333
"13125",8.5,7.82540416666668
"13127",7.9,7.12579166666669
"13129",8.5,6.97886666666668
"13131",9.2,8.31858333333332
"13133",10.1,7.97580416666665
"13135",5.3,4.87182083333332
"13137",8.1,7.28675833333332
"13139",7.7,6.49889583333334
"13141",10.5,9.76400416666665
"13143",6.9,6.91446250000001
"13145",7.2,6.89254583333332
"13147",8.5,8.08745416666665
"13149",8.3,8.04962500000001
"13151",5.4,5.23827916666667
"13153",5.7,5.41445
"13155",8.8,7.94308333333331
"13157",6.6,6.088175
"13159",7.9,7.1782625
"13161",9.1,8.04101666666667
